year,state,SuicideMean,PovertyPercentage
2011,Kentucky,15.2,16
2012,Kentucky,16.2,17.9
2013,Alaska,23.2,10.9
2013,Kentucky,15.6,20
2014,Kentucky,16,20
2015,Kentucky,17.1,19.5
2016,Kentucky,16.8,15.2
2014,Alaska,22.1,11.9
2011,Louisiana,12.5,21.1
2012,Louisiana,12.4,21.1
2013,Louisiana,12.4,19.2
2014,Louisiana,14.3,23.1
2015,Alaska,26.9,9.2
2015,Louisiana,15.2,18.6
2016,Louisiana,14.2,20.2
2016,Alaska,25.8,12.6
2011,Maine,16.6,13.4
2012,Maine,14.5,12.8
2013,Maine,17.4,12.3
2014,Maine,15.7,14.6
2015,Maine,16,12.3
2016,Maine,15.9,12.7
2011,Maryland,9.2,9.3
2012,Maryland,9.5,9.9
2013,Maryland,9.2,10.3
2014,Maryland,9.8,9.8
2015,Maryland,8.8,9.6
2016,Maryland,9.4,7.1
2011,Massachusetts,8.4,10.6
2012,Massachusetts,8.7,11.3
2013,Massachusetts,8.2,11.9
2014,Massachusetts,8.2,13.6
2015,Massachusetts,8.9,11.5
2016,Massachusetts,8.8,9.6
2011,Michigan,12.2,15
2012,Michigan,12.5,13.7
2013,Michigan,12.9,14.5
2014,Michigan,13.3,14.8
2015,Michigan,13.8,12.8
2016,Michigan,13.3,11.1
2011,Minnesota,12.5,10
2012,Minnesota,12,10
2013,Minnesota,12.1,12
2014,Minnesota,12.2,8.3
2015,Minnesota,13.2,7.8
2016,Minnesota,13.2,8.7
2011,Mississippi,13.1,17.4
2012,Mississippi,14,22
2013,Mississippi,13,22.5
2014,Mississippi,12.5,22.1
2015,Mississippi,14,19.1
2016,Mississippi,12.7,21.1
2011,Missouri,15.3,15.4
2012,Missouri,14.9,15.2
2013,Missouri,15.6,13.7
2014,Missouri,16.3,10.4
2015,Missouri,17.1,9.8
2016,Missouri,18.4,13
2011,Arizona,17.8,17.2
2011,Montana,22.5,16.5
2012,Montana,22.6,13.4
2013,Montana,23.7,14.5
2014,Montana,23.9,12
2015,Montana,25.3,11.9
2016,Montana,25.9,11.7
2012,Arizona,17.3,19
2011,Nebraska,10.5,10.2
2012,Nebraska,12.5,12.2
2013,Arizona,17.5,20.2
2013,Nebraska,11.6,11
2014,Nebraska,13.4,11.8
2015,Nebraska,11.7,10.3
2016,Nebraska,13.1,9.6
2014,Arizona,18,21.2
2011,Nevada,18.4,15.5
2012,Nevada,18.2,15.8
2013,Nevada,18.6,17.4
2014,Nevada,19.6,17
2015,Arizona,18.2,17.2
2015,Nevada,18.4,13
2016,Nevada,21.4,10.1
2016,Arizona,17.7,16.1
2011,New Hampshire,13.8,7.6
2012,New Hampshire,14.1,8.1
2013,New Hampshire,12.8,9
2014,New Hampshire,17.8,7.2
2015,New Hampshire,16.5,7.3
2016,New Hampshire,17.2,6.4
2011,New Jersey,7.5,11.4
2012,New Jersey,7.4,9.3
2013,New Jersey,8,11.1
2014,New Jersey,8.3,11.3
2015,New Jersey,8.3,11.2
2016,New Jersey,7.2,9.4
2011,New Mexico,20.3,22.2
2012,New Mexico,21.3,20.4
2013,New Mexico,20.3,21.7
2014,New Mexico,21,20
2015,New Mexico,23.7,19.7
2016,New Mexico,22.5,17.8
2011,New York,8.2,16
2012,New York,8.3,17.2
2013,New York,8.1,14.5
2014,New York,8.1,14
2015,New York,7.8,14.2
2016,New York,8.1,11.9
2011,North Carolina,12.3,15.4
2012,North Carolina,12.7,17.2
2013,North Carolina,12.6,18.6
2014,North Carolina,13.1,17.1
2015,North Carolina,13.4,15.3
2016,North Carolina,13,13.6
2011,North Dakota,14.9,9.9
2012,North Dakota,15.2,11.4
2013,North Dakota,17.3,9.9
2014,North Dakota,17.8,9.7
2015,North Dakota,17.5,10.7
2016,North Dakota,19,11.1
2011,Ohio,12.3,15.1
2012,Ohio,13,15.4
2013,Ohio,12.9,13.7
2014,Ohio,12.6,15.6
2015,Ohio,13.9,13.6
2016,Ohio,14.2,13.7
2011,Arkansas,16,18.7
2011,Oklahoma,18.5,13.9
2012,Oklahoma,17.6,18
2013,Oklahoma,17.2,14
2014,Oklahoma,19.1,17.3
2015,Oklahoma,20.3,14.2
2016,Oklahoma,21,14.6
2012,Arkansas,16.3,20.1
2011,Oregon,16.6,14.4
2012,Oregon,17.8,13.5
2013,Arkansas,17.3,17.1
2013,Oregon,16.8,15.1
2014,Oregon,18.6,14.4
2015,Oregon,17.8,11.9
2016,Oregon,17.8,11.8
2014,Arkansas,17.3,18.4
2011,Pennsylvania,13.2,12.6
2012,Pennsylvania,12.4,13.9
2013,Pennsylvania,13.4,12.4
2014,Pennsylvania,13.3,12.5
2015,Arkansas,19.1,16.1
2015,Pennsylvania,14,12.3
2016,Pennsylvania,14.7,11.1
2016,Arkansas,18.2,16
2011,Rhode Island,8.9,13.4
2012,Rhode Island,9.5,13.6
2013,Rhode Island,12.2,13.5
2014,Rhode Island,10.1,11.3
2015,Rhode Island,11.2,11.8
2016,Rhode Island,11.2,11.4
2011,South Carolina,13.6,19
2012,South Carolina,13.7,16.7
2013,South Carolina,14,15.9
2014,South Carolina,15.2,16.5
2015,South Carolina,14.8,14.3
2016,South Carolina,15.7,14.1
2011,South Dakota,15.7,14.5
2012,South Dakota,16.8,12.8
2013,South Dakota,18,10.3
2014,South Dakota,17.1,12.8
2015,South Dakota,20.4,13.9
2016,South Dakota,20.2,14.5
2011,Tennessee,14.4,16.3
2012,Tennessee,14.6,18.6
2013,Tennessee,15.4,18.1
2014,Tennessee,14.8,17.3
2015,Tennessee,15.7,14.7
2016,Tennessee,16.3,14.9
2011,Texas,11.5,17.4
2012,Texas,11.9,17
2013,Texas,11.7,16.8
2014,Texas,12.2,16.4
2015,Texas,12.5,14.7
2016,Texas,12.6,13.8
2011,Utah,19.4,11
2012,Utah,21,11
2013,Utah,21.4,8.3
2014,Utah,20.5,10.2
2015,Utah,22.4,9.3
2016,Utah,21.8,8.6
2011,Vermont,17.8,11.6
2012,Vermont,13,11.2
2013,Vermont,16.8,8.7
2014,Vermont,18.7,9.3
2015,Vermont,14.8,10.7
2016,Vermont,17.3,9.6
2011,California,10.4,16.9
2011,Virginia,12.6,11.4
2012,Virginia,12.7,10.6
2013,Virginia,12.5,10.4
2014,Virginia,12.9,10.2
2015,Virginia,12.7,10.9
2016,Virginia,13.2,11.4
2012,California,10,15.9
2011,Washington,14.3,12.5
2012,Washington,14.5,11.6
2013,California,10.2,14.9
2013,Washington,14.1,12
2014,Washington,15.2,12
2015,Washington,15.4,11.4
2016,Washington,14.9,11
2014,California,10.5,15.8
2011,West Virginia,15.9,17.5
2012,West Virginia,17.1,16.7
2013,West Virginia,16.4,17.3
2014,West Virginia,18.1,20.6
2015,California,10.3,13.9
2015,West Virginia,17.4,14.5
2016,West Virginia,19.3,18
2016,California,10.5,13.9
2011,Wisconsin,12.8,13.1
2012,Wisconsin,12.4,11.4
2013,Wisconsin,14.4,11
2014,Wisconsin,13.1,10.9
2015,Wisconsin,14.7,11.4
2016,Wisconsin,14.7,10.7
2011,Wyoming,23.2,10.7
2012,Wyoming,29.6,9.6
2013,Wyoming,21.5,11.8
2014,Wyoming,20.6,9.7
2015,Wyoming,28,9.8
2016,Wyoming,25.2,10.9
